"","follower_count","following_count","account_language","tweet_client_name","is_retweet","reply_count","like_count","retweet_count","numcaracter","account_creation_year","account_creation_month","tweet_hour"
"9347",1538,93,1,1,2,0,0,0,106,2013,6,1
"9348",8685,1451,1,4,2,0,0,0,103,2015,1,15
"9349",8685,1451,1,4,2,0,0,0,142,2015,1,2
"9350",1538,93,1,1,2,0,0,0,117,2013,6,15
"9351",8685,1451,1,4,2,0,0,0,147,2015,1,1
"9352",3051,271,1,2,2,0,0,0,93,2017,12,16
"9353",107,101,1,1,1,0,0,0,54,2013,7,14
"9354",3020,2518,1,4,2,0,0,0,142,2017,6,5
"9355",3051,271,1,2,2,0,0,0,131,2017,12,15
"9356",109,123,1,13,2,0,0,0,142,2015,3,8
"9357",4989,4418,1,4,2,0,0,0,86,2015,8,7
"9358",19845,808,1,1,1,0,0,0,164,2015,11,15
"9359",7566,4526,1,4,2,0,0,0,88,2017,3,22
"9360",8685,1451,1,4,2,0,0,0,142,2015,1,21
"9361",8685,1451,1,4,1,0,0,1,118,2015,1,4
"9362",8685,1451,1,4,2,0,0,0,142,2015,1,3
"9363",8685,1451,1,4,2,0,0,0,142,2015,1,19
"9364",8685,1451,1,4,2,0,0,0,150,2015,1,1
"9365",3051,271,1,2,2,0,0,0,60,2017,12,18
"9366",8685,1451,1,4,2,0,0,0,81,2015,1,21
"9367",3739,4633,1,4,2,0,0,0,94,2017,4,1
"9368",8685,1451,1,4,1,1,0,0,107,2015,1,23
"9369",3020,2518,1,4,2,0,0,0,230,2017,6,1
"9370",3051,271,1,2,1,0,0,0,107,2017,12,16
"9371",4989,4418,1,4,2,0,0,0,190,2015,8,15
"9372",8685,1451,1,4,2,0,0,0,85,2015,1,0
"9373",8685,1451,1,4,2,0,0,0,142,2015,1,6
"9374",8685,1451,1,4,2,0,0,0,142,2015,1,23
"9375",7566,4526,1,4,2,0,0,0,142,2017,3,5
"9376",8685,1451,1,4,2,0,0,0,322,2015,1,4
"9377",8685,1451,1,4,2,0,0,0,96,2015,1,23
"9378",3051,271,1,6,2,0,0,0,244,2017,12,13
"9379",1538,93,1,9,2,0,0,0,142,2013,6,0
"9380",8685,1451,1,4,2,0,0,0,142,2015,1,1
"9381",8685,1451,1,4,2,0,0,0,144,2015,1,0
"9382",4989,4418,1,4,2,0,0,0,78,2015,8,2
"9383",3051,271,1,2,1,0,0,0,59,2017,12,8
"9384",8685,1451,1,4,2,0,0,0,142,2015,1,21
"9385",8685,1451,1,4,2,0,0,0,146,2015,1,0
"9386",7566,4526,1,4,2,0,0,0,106,2017,3,0
"9387",3051,271,1,6,2,0,0,0,68,2017,12,8
"9388",8685,1451,1,4,2,0,0,0,166,2015,1,3
"9389",92,150,1,13,2,0,0,0,142,2015,3,18
"9390",4989,4418,1,4,2,0,0,0,126,2015,8,8
